Site,Agapostemon.texanus,Agapostemon.virescens,Andrena.arabis,Andrena.atlantica,Andrena.banksi,Andrena.barbara,Andrena.bradleyi,Andrena.brevipalpis,Andrena.carlini,Andrena.carolina,Andrena.commoda,Andrena.confederata,Andrena.cornelli,Andrena.cressonii,Andrena.dunningi,Andrena.erigeniae,Andrena.erythronii,Andrena.fenningeri,Andrena.forbesii,Andrena.heraclei,Andrena.hilaris,Andrena.illini,Andrena.imitatrix,Andrena.macra,Andrena.mandibularis,Andrena.miserabilis,Andrena.morrisonella,Andrena.nasonii,Andrena.nida,Andrena.nuda,Andrena.perplexa,Andrena.personata,Andrena.pruni,Andrena.rufosignata,Andrena.rugosa,Andrena.sayi,Andrena.tridens,Andrena.vicina,Andrena.violae,Andrena.wilkella,Andrena.ziziaeformis,Anthophora.plumipes,Apis.mellifera,Augochlora.pura,Augochlorella.aurata,Augochloropsis.metallica,Bombus.bimaculatus,Bombus.citrinus,Bombus.fervidus,Bombus.griseocollis,Bombus.impatiens,Bombus.pensylvanicus,Bombus.perplexus,Bombus.sandersoni,Bombus.vagans,Ceratina.calcarata,Ceratina.dupla,Ceratina.mikmaqi,Ceratina.strenua,Colletes.inaequalis,Colletes.thoracicus,Colletes.validus,Eucera.atriventris,Eucera.hamata,Eucera.rosae,Habropoda.laboriosa,Halictus.confusus,Halictus.parallelus,Halictus.poeyi_ligatus,Halictus.rubicundus,Hoplitis.producta,Hylaeus.annulatus,Lasioglossum.abanci,Lasioglossum.acuminatum,Lasioglossum.admirandum,Lasioglossum.birkmanni,Lasioglossum.bruneri,Lasioglossum.cattellae,Lasioglossum.coeruleum,Lasioglossum.comagenense,Lasioglossum.coreopsis,Lasioglossum.coriaceum,Lasioglossum.cressonii,Lasioglossum.ephialtum,Lasioglossum.floridanum,Lasioglossum.foxii,Lasioglossum.fuscipenne,Lasioglossum.gotham,Lasioglossum.heterognathum,Lasioglossum.hitchensi,Lasioglossum.illinoense,Lasioglossum.imitatum,Lasioglossum.leucozonium,Lasioglossum.lineatulum,Lasioglossum.macoupinense,Lasioglossum.nigroviride,Lasioglossum.oblongum,Lasioglossum.quebecense,Lasioglossum.smilacinae,Lasioglossum.subviridatum,Lasioglossum.tegulare,Lasioglossum.trigeminum,Lasioglossum.versans,Lasioglossum.versatum,Lasioglossum.weemsi,Lasioglossum.zephyrum,Nomada.annulata,Nomada.armatella,Nomada.articulata,Nomada.australis,Nomada.bidentate_group,Nomada.composita,Nomada.cressonii,Nomada.denticulata,Nomada.depressa,Nomada.gracilis,Nomada.imbricata,Nomada.lehighensis,Nomada.luteola,Nomada.luteoloides,Nomada.maculata,Nomada.perplexa,Nomada.pygmaea,Nomada.sayi_illinoensis,Nomada.sulphurata,Osmia.atriventris,Osmia.bucephala,Osmia.collinsiae,Osmia.cornifrons,Osmia.georgica,Osmia.inspergens,Osmia.lignaria,Osmia.pumila,Osmia.taurus,Osmia.virga,Sphecodes.species,Xylocopa.virginica
Andelot,0,0,0,0,0,10,0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,12,0,6,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0,1,5,1,0,0,14,13,0,0,0
Antietam_Snavely_Woods,0,0,0,0,0,1,0,0,66,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,8,0,0,37,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,6,0,0,1
Antietam_West_Woods,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,27,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0
Arlington_Echo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Audrey_Carroll_Audubon_Sanctuary,0,0,0,0,0,1,0,1,151,0,0,0,0,8,1,63,0,0,4,1,0,0,0,0,0,4,0,51,0,0,19,0,5,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,11,0,0,1,0,0,3,0,0,9,0,0,6,0,0,1,0,0,7,0,0,0,1,10,0,0,0
Battle_Creek_Forest,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0
Battle_Creek_Swamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethesda_Naval_Base,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Blackiston,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,2,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0
BOTT,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
