Site,Latitude,Longitude,State,County,Northing,Easting,200m_open_water,200m_developed,200m_forest,200m_earlysuccessional,200m_wetlands,1000m_open,1000m_developed,1000m_forest,1000m_earlysuccessional,1000m_wetlands
Andelot,39.3115,-76.1768,Maryland,Kent.MD,4352005.12,398545.72,0.137931034,0,0.324137931,0.096551724,0.44137931,0.264088802,0,0.243291047,0.302482313,0.185167114
Antietam_Snavely_Woods,39.4481,-77.7285,Maryland,Washington,4370058.14,265214.61,0.191780822,0.184931507,0.575342466,0.047945205,0,0.037412059,0.067919616,0.351916684,0.533748415,0.009003227
Antietam_West_Woods,39.4759,-77.7502,Maryland,Washington,4373200.85,263441.28,0,0.234482759,0.110344828,0.655172414,0,0,0.102802856,0.01931743,0.876011956,0.001867758
Arlington_Echo,39.0758,-76.6075,Maryland,Anne.Arundel,4326418,360948.61,0.103448276,0.04137931,0.703448276,0,0.151724138,0.298110845,0.174147437,0.4031827,0.013103438,0.075718933
Audrey_Carroll_Audubon_Sanctuary,39.4213,-77.2059,Maryland,Frederick,4365852.2,310116,0,0,0.510344828,0.4,0.089655172,0,0.037653357,0.256561136,0.621850533,0.069910242
Battle_Creek_Forest,38.4917,-76.5914,Maryland,Calvert,4261572.24,361213.32,0,0.184931507,0.363013699,0,0.452054795,0.002206593,0.099145447,0.54865151,0.107644686,0.241089532
Battle_Creek_Swamp,38.4916,-76.592,Maryland,Calvert,4261562.05,361160.8,0,0.067567568,0.385135135,0.027027027,0.52027027,0.002207928,0.09797025,0.548035562,0.109253844,0.239691446
Bethesda_Naval_Base,39.0035,-77.0869,Maryland,Montgomery,4319236.73,319292.18,0,0.475862069,0.496551724,0.027586207,0,0,0.816851475,0.165639386,0.001563097,0.014070936
Blackiston,39.2441,-75.7184,Delaware,Kent.DE,4344111.07,438006.47,0,0.116438356,0.315068493,0,0.568493151,0,0.035010914,0.084973011,0.393224323,0.475283817
BOTT,39.2677,-76.8119,Maryland,Howard,4348048.84,343692.09,0,0.351351351,0.648648649,0,0,0,0.609148667,0.367825859,0.015258945,0
Camp_Woodlands,38.97,-76.5681,Maryland,Anne.Arundel,4314616.74,364154.57,0,0.265306122,0.734693878,0,0,0.124147252,0.4480034,0.347520571,0.024982341,0.055346435
Carroll_Young,39.4476,-76.9277,Maryland,Carroll,4368222.44,334127.77,0,0.342281879,0.369127517,0.288590604,0,0.00031129,0.212836735,0.388217988,0.377118373,0
Catoctin_Creek_NC,39.3921,-77.5663,Maryland,Frederick,4363431.99,278996.75,0,0,0.356164384,0.643835616,0,0.021766131,0.02800677,0.327618329,0.60550333,0.017105439
Cecil_Jones,39.5609,-75.9147,Maryland,Cecil,4379422.76,421423.04,0,0.081632653,0.918367347,0,0,0,0.062519158,0.686857927,0.154052061,0.017359688
Cecil_Wilen,39.6736,-75.9314,Maryland,Cecil,4391945.56,420118.07,0,0.006666667,0.733333333,0.233333333,0.026666667,0,0.106714694,0.369575658,0.457808985,0.040731959
Chestnut_Garth,39.6783,-76.9067,Maryland,Carroll,4393790.22,336477.83,0,0.006666667,0.98,0.013333333,0,0,0.037082856,0.315643932,0.598304437,0.006822275
Chino_Farms_1_Pheasant_Woods,39.2347,-76.0079,Maryland,Queen.Annes,4343305.98,413012.33,0.01369863,0,0.479452055,0.335616438,0.171232877,0.409966826,0.026465997,0.082352547,0.40582008,0.072903454
